title,url,SciName,tid,profilelink
Rare Plant Fact Sheet,/pages/content/delore.pdf,Delphinium oreganum,4513,https://oregonflora.org/taxa/index.php?taxon=4513
Rare Plant Fact Sheet,/pages/content/delpav.pdf,Delphinium pavonaceum,4514,https://oregonflora.org/taxa/index.php?taxon=4514
Rare Plant Fact Sheet,/pages/content/dodaus.pdf,Dodecatheon austrofrigidum,4601,https://oregonflora.org/taxa/index.php?taxon=4601
Rare Plant Fact Sheet,/pages/content/erepyg.pdf,Eremothera pygmaea,4878,https://oregonflora.org/taxa/index.php?taxon=4878
Rare Plant Fact Sheet,/pages/content/ericha.pdf,Eriophorum chamissonis,5004,https://oregonflora.org/taxa/index.php?taxon=5004
Rare Plant Fact Sheet,/pages/content/erichr2.pdf,Eriogonum chrysops,4955,https://oregonflora.org/taxa/index.php?taxon=4955
Rare Plant Fact Sheet,/pages/content/eridec.pdf,Erigeron decumbens,4910,https://oregonflora.org/taxa/index.php?taxon=4910
Rare Plant Fact Sheet,/pages/content/erihow.pdf,Erigeron howellii,4922,https://oregonflora.org/taxa/index.php?taxon=4922
Rare Plant Fact Sheet,/pages/content/eriperper.pdf,Erigeron peregrinus var. peregrinus,13033,https://oregonflora.org/taxa/index.php?taxon=13033
Rare Plant Fact Sheet,/pages/content/eryele.pdf,Erythronium elegans,5068,https://oregonflora.org/taxa/index.php?taxon=5068
Rare Plant Fact Sheet,/pages/content/eryhym.pdf,Erythranthe hymenophylla,5050,https://oregonflora.org/taxa/index.php?taxon=5050
Rare Plant Fact Sheet,/pages/content/eryinf.pdf,Erythranthe inflatula,5051,https://oregonflora.org/taxa/index.php?taxon=5051
Rare Plant Fact Sheet,/pages/content/eucgor.pdf,Eucephalus gormanii,5089,https://oregonflora.org/taxa/index.php?taxon=5089
Rare Plant Fact Sheet,/pages/content/eucvia.pdf,Eucephalus vialis,5094,https://oregonflora.org/taxa/index.php?taxon=5094
Rare Plant Fact Sheet,/pages/content/filocc.pdf,Filipendula occidentalis,5189,https://oregonflora.org/taxa/index.php?taxon=5189
Rare Plant Fact Sheet,/pages/content/fraump.pdf,Frasera umpquaensis,5213,https://oregonflora.org/taxa/index.php?taxon=5213
Rare Plant Fact Sheet,/pages/content/fricam.pdf,Fritillaria camschatcensis,5221,https://oregonflora.org/taxa/index.php?taxon=5221
Rare Plant Fact Sheet,/pages/content/frigen.pdf,Fritillaria gentneri,5223,https://oregonflora.org/taxa/index.php?taxon=5223
Rare Plant Fact Sheet,/pages/content/grahet.pdf,Gratiola heterosepala,5427,https://oregonflora.org/taxa/index.php?taxon=5427
Rare Plant Fact Sheet,/pages/content/haccro.pdf,Hackelia cronquistii,5471,https://oregonflora.org/taxa/index.php?taxon=5471
Rare Plant Fact Sheet,/pages/content/hasbrabra.pdf,Hastingsia bracteosa var. bracteosa,13317,https://oregonflora.org/taxa/index.php?taxon=13317
Rare Plant Fact Sheet,/pages/content/horconcon.pdf,Horkelia congesta ssp. congesta,11155,https://oregonflora.org/taxa/index.php?taxon=11155
Rare Plant Fact Sheet,/pages/content/horhen.pdf,Horkelia hendersonii,5649,https://oregonflora.org/taxa/index.php?taxon=5649
