"FloraStatus","Was","Now","Group","Family","Acronym","scientific_name","FloraOfOregonPage","WebConcept"
"Fully described","Accepted","Synonym of Eriocoma nelsonii ssp. nelsonii","Monocotyledons","Poaceae","ACHNELNEL","Achnatherum nelsonii ssp. nelsonii","Volume 1, Page 344",3969
"Fully described","Accepted","Synonym of Eriocoma nevadensis","Monocotyledons","Poaceae","ACHNEV","Achnatherum nevadense","Volume 1, Page 344",4751
"Fully described","Accepted","Synonym of Eriocoma occidentalis","Monocotyledons","Poaceae","ACHOCC","Achnatherum occidentale","Volume 1, Page 345",9449
"Fully described","Accepted","Synonym of Eriocoma occidentalis ssp. californica","Monocotyledons","Poaceae","ACHOCCCAL","Achnatherum occidentale ssp. californicum","Volume 1, Page 345",33
"Fully described","Accepted","Synonym of Eriocoma occidentalis ssp. pubescens","Monocotyledons","Poaceae","ACHOCCPUB","Achnatherum occidentale ssp. pubescens","Volume 1, Page 345",34
"Fully described","Accepted","Synonym of Eriocoma pinetorum","Monocotyledons","Poaceae","ACHPIN","Achnatherum pinetorum","Volume 1, Page 345",3997
"Fully described","Accepted","Synonym of Eriocoma richardsonii","Monocotyledons","Poaceae","ACHRIC","Achnatherum richardsonii","Volume 1, Page 346",12711
"Fully described","Accepted","Synonym of Eriocoma thurberiana","Monocotyledons","Poaceae","ACHTHU","Achnatherum thurberianum","Volume 1, Page 346",4005
"Fully described","Accepted","Synonym of Eriocoma wallowaensis","Monocotyledons","Poaceae","ACHWAL2","Achnatherum wallowaense","Volume 1, Page 347",4465
"Fully described","Accepted","Synonym of Eriocoma webberi","Monocotyledons","Poaceae","ACHWEB","Achnatherum webberi","Volume 1, Page 347",4010
"Fully described","Accepted","Synonym of Polypogon exaratus","Monocotyledons","Poaceae","AGREXA","Agrostis exarata","Volume 1, Page 351",58
"Fully described","Accepted","Synonym of Calamagrostis arenaria ssp. arenaria","Monocotyledons","Poaceae","AMMAREARE","Ammophila arenaria ssp. arenaria","Volume 1, Page 358",167
"Fully described","Accepted","Synonym of Calamagrostis breviligulata ssp. breviligulata","Monocotyledons","Poaceae","AMMBREBRE","Ammophila breviligulata ssp. breviligulata","Volume 1, Page 358",4624
"Fully described","Accepted","Synonym of Bromus sitchensis var. carinatus","Monocotyledons","Poaceae","BROCARCAR","Bromus carinatus var. carinatus","Volume 1, Page 368",647
"Fully described","Accepted","Synonym of Bromus sitchensis var. marginatus","Monocotyledons","Poaceae","BROCARMAR2","Bromus carinatus var. marginatus","Volume 1, Page 369",90
"Fully described","Accepted","Synonym of Bromus sitchensis var. maritimus","Monocotyledons","Poaceae","BROMAR2","Bromus maritimus","Volume 1, Page 372",649
"Fully described","Accepted","Synonym of Greeneochloa tweedyi","Monocotyledons","Poaceae","CALTWE","Calamagrostis tweedyi","Volume 1, Page 379",13643
"Fully described","Accepted","Synonym of Sporobolus alopecuroides","Monocotyledons","Poaceae","CRYALO","Crypsis alopecuroides","Volume 1, Page 383",1259
