"Group","Family","Scientific_name","Name_Status","Accepted_Name","FloraStatus","FloraPage","ConceptNum","Acronym","Scientific_name_auths"
"Dicotyledons","Amaranthaceae","Chenopodium berlandieri var. zschackei","Accepted","Chenopodium berlandieri var. zschackei","Fully described","vol2, pg75",13775,"CHEBERZSC","Chenopodium berlandieri Moq. var. zschackei (Murr) Murr "
"Dicotyledons","Amaranthaceae","Chenopodium capitatum","Accepted","Chenopodium capitatum",,,9769,"CHECAP","Chenopodium capitatum (L.) Asch. "
"Dicotyledons","Amaranthaceae","Chenopodium capitatum var. parvicapitatum","Accepted","Chenopodium capitatum var. parvicapitatum","Fully described","vol2, pg76",4822,"CHECAPPAR","Chenopodium capitatum (L.) Asch. var. parvicapitatum S.L. Welsh "
"Dicotyledons","Amaranthaceae","Chenopodium desiccatum","Accepted","Chenopodium desiccatum","Fully described","vol2, pg76",12835,"CHEDES","Chenopodium desiccatum A. Nelson "
"Dicotyledons","Amaranthaceae","Chenopodium fremontii","Accepted","Chenopodium fremontii","Fully described","vol2, pg77",1068,"CHEFRE","Chenopodium fremontii S. Watson "
"Dicotyledons","Amaranthaceae","Chenopodium fremontii var. atrovirens","Synonym","Chenopodium atrovirens",,,1067,"CHEFREATR","Chenopodium fremontii S. Watson var. atrovirens (Rydb.) Fosberg "
"Dicotyledons","Amaranthaceae","Chenopodium fremontii var. fremontii","Synonym","Chenopodium fremontii",,,1068,"CHEFREFRE","Chenopodium fremontii S. Watson var. fremontii "
"Dicotyledons","Amaranthaceae","Chenopodium humile","Synonym","Chenopodium rubrum var. humile",,,14585,"CHEHUM","Chenopodium humile Hook. "
"Dicotyledons","Amaranthaceae","Chenopodium hybridum","Misapplied","Chenopodium simplex",,,1075,"CHEHYB","Chenopodium hybridum L. "
"Dicotyledons","Amaranthaceae","Chenopodium leptophyllum","Accepted","Chenopodium leptophyllum","Fully described","vol2, pg77",1080,"CHELEP","Chenopodium leptophyllum (Moq.) S. Watson "
