Version,Family,Scientific name,Previously,As of the stated version,Date,,,,,,
v 2.0,Nyctaginaceae,Abronia umbellata ssp. breviflora,Synonym of Abronia umbellata var. breviflora,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Nyctaginaceae,Abronia umbellata var. breviflora,Accepted (terminal),Synonym of Abronia umbellata ssp. breviflora,12-Oct-20,,,,,,
v 2.0,Nyctaginaceae,Mirabilis greenei,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Onagraceae,Chamaenerion latifolium,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Onagraceae,Chamerion latifolium,Accepted (terminal),Synonym of Chamaenerion latifolium,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon californicum,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon californicum ssp. californicum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon californicum ssp. grayanum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon corymbosum,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon corymbosum ssp. corymbosum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon corymbosum ssp. mutabile,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon epigalium,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon epigalium ssp. epigalium,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon fasciculatum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon ludovicianum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon pinorum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Aphyllon purpureum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche californica,Accepted (not terminal),Synonym of Aphyllon californicum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche californica ssp. californica,Accepted (terminal),Synonym of Aphyllon californicum ssp. californicum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche californica ssp. grayana,Accepted (terminal),Synonym of Aphyllon californicum ssp. grayanum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche californica ssp. jepsonii,Accepted (terminal),Synonym of Aphyllon californicum ssp. jepsonii,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche corymbosa,Accepted (not terminal),Synonym of Aphyllon corymbosum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche corymbosa ssp. corymbosa,Accepted (terminal),Synonym of Aphyllon corymbosum ssp. corymbosum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche fasciculata,Accepted (terminal),Synonym of Aphyllon fasciculatum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche ludoviciana,Accepted (not terminal),Synonym of Aphyllon ludovicianum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche ludoviciana ssp. ludoviciana,Accepted (terminal),Synonym of Aphyllon ludovicianum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche parishii,Accepted (terminal),Synonym of Aphyllon parishii,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche pinorum,Accepted (terminal),Synonym of Aphyllon pinorum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche uniflora,Accepted (not terminal),Synonym of Aphyllon uniflorum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche uniflora var. occidentalis,Accepted (terminal),Synonym of Aphyllon uniflorum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Orobanche uniflora var. purpurea,Accepted (terminal),Synonym of Aphyllon purpureum,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Rhinanthus crista-galli,Accepted (terminal),Synonym of Rhinanthus minor,12-Oct-20,,,,,,
v 2.0,Orobanchaceae,Rhinanthus minor,Synonym of Rhinanthus crista-galli,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Antirrhinum kingii,Accepted (terminal),Synonym of Sairocarpus kingii,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Antirrhinum orontium,Accepted (terminal),Synonym of Misopates orontium,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Antirrhinum vexillo-calyculatum,Accepted (not terminal),Synonym of Sairocarpus breweri,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Antirrhinum vexillo-calyculatum ssp. breweri,Accepted (terminal),Synonym of Sairocarpus breweri,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Callitriche palustris,Synonym of Callitriche verna,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Callitriche verna,Accepted (terminal),Synonym of Callitriche palustris,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Collinsia greenei,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Collinsia sparsiflora var. bruceae,Accepted (terminal),Excluded,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Collinsia sparsiflora var. sparsiflora,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Collinsia tinctoria,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Misopates orontium,Synonym of Antirrhinum orontium,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Nuttallanthus canadensis,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Sairocarpus breweri,Synonym of Antirrhinum vexillo-calyculatum ssp. breweri,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Sairocarpus kingii,Synonym of Antirrhinum kingii,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Synthyris cordata,Accepted (terminal),Synonym of Veronica californica,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Synthyris missurica,Accepted (not terminal),Synonym of Veronica missurica,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Synthyris missurica ssp. missurica,Accepted (terminal),Synonym of Veronica missurica ssp. missurica,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Synthyris missurica ssp. stellata,Accepted (terminal),Synonym of Veronica missurica ssp. stellata,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Synthyris reniformis,Accepted (terminal),Synonym of Veronica regina-nivalis,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Synthyris rubra,Accepted (terminal),Synonym of Veronica rubra,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Synthyris schizantha,Accepted (terminal),Synonym of Veronica schizantha,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica argute-serrata,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica biloba,Accepted (terminal),Synonym of Veronica argute-serrata,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica californica,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica hederaefolia,Accepted (terminal),Synonym of Veronica hederifolia,12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica hederifolia,Synonym of Veronica hederaefolia,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica missurica,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica missurica ssp. missurica,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica missurica ssp. stellata,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica regina-nivalis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica rubra,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Plantaginaceae,Veronica schizantha,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum × bloomeri,Accepted (terminal),Synonym of Eriocoma bloomeri,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum hendersonii,Accepted (terminal),Synonym of Eriocoma hendersonii,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum hymenoides,Accepted (terminal),Synonym of Eriocoma hymenoides,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum lemmonii,Accepted (not terminal),Synonym of Eriocoma lemmonii,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum lemmonii ssp. lemmonii,Accepted (terminal),Synonym of Eriocoma lemmonii ssp. lemmonii,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum nelsonii,Accepted (not terminal),Synonym of Eriocoma nelsonii,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum nelsonii ssp. dorei,Accepted (terminal),Synonym of Eriocoma nelsonii ssp. dorei,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum nelsonii ssp. nelsonii,Accepted (terminal),Synonym of Eriocoma nelsonii ssp. nelsonii,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum nevadense,Accepted (terminal),Synonym of Eriocoma nevadensis,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum occidentale,Accepted (not terminal),Synonym of Eriocoma occidentalis,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum occidentale ssp. californicum,Accepted (terminal),Synonym of Eriocoma occidentalis ssp. californica,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum occidentale ssp. pubescens,Accepted (terminal),Synonym of Eriocoma occidentalis ssp. pubescens,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum pinetorum,Accepted (terminal),Synonym of Eriocoma pinetorum,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum richardsonii,Accepted (terminal),Synonym of Eriocoma richardsonii,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum thurberianum,Accepted (terminal),Synonym of Eriocoma thurberiana,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum wallowaense,Accepted (terminal),Synonym of Eriocoma wallowaensis,12-Oct-20,,,,,,
v 2.0,Poaceae,Achnatherum webberi,Accepted (terminal),Synonym of Eriocoma webberi,12-Oct-20,,,,,,
v 2.0,Poaceae,Bromus carinatus,Accepted (not terminal),Synonym of Bromus sitchensis var. carinatus,12-Oct-20,,,,,,
v 2.0,Poaceae,Bromus carinatus var. carinatus,Accepted (terminal),Synonym of Bromus sitchensis var. carinatus,12-Oct-20,,,,,,
v 2.0,Poaceae,Bromus carinatus var. marginatus,Accepted (terminal),Synonym of Bromus sitchensis var. marginatus,12-Oct-20,,,,,,
v 2.0,Poaceae,Bromus maritimus,Accepted (terminal),Synonym of Bromus sitchensis var. maritimus,12-Oct-20,,,,,,
v 2.0,Poaceae,Bromus sitchensis var. carinatus,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Bromus sitchensis var. marginatus,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Bromus sitchensis var. maritimus,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Bromus sitchensis var. sitchensis,Synonym of Bromus sitchensis,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Calamagrostis tweedyi,Accepted (terminal),Synonym of Greeneochloa tweedyi,12-Oct-20,,,,,,
v 2.0,Poaceae,Calamagrostis utsutsuensis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma bloomeri,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma hendersonii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma hymenoides,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma lemmonii,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma lemmonii ssp. lemmonii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma nelsonii,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma nelsonii ssp. dorei,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma nelsonii ssp. nelsonii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma nevadensis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma occidentalis,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma occidentalis ssp. californica,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma occidentalis ssp. pubescens,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma pinetorum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma richardsonii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma thurberiana,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma wallowaensis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Eriocoma webberi,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Festuca lemanii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Greeneochloa tweedyi,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Leymus × multiflorus,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Leymus racemosus,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Poa iconia,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Poa iconia var. iconia,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Poa laxa,Accepted (terminal),Excluded,12-Oct-20,,,,,,
v 2.0,Poaceae,Poa mansfieldii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Poa wallowensis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Puccinellia simplex,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Poaceae,Spartina densiflora,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Aliciella triodon,Accepted (terminal),Excluded,12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Ipomopsis congesta ssp. montana,Synonym of Ipomopsis congesta ssp. palmifrons,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Ipomopsis congesta ssp. palmifrons,Accepted (terminal),Synonym of Ipomopsis congesta ssp. montana,12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Navarretia divaricata,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Navarretia divaricata ssp. divaricata,Accepted (terminal),Synonym of Navarretia divaricata,12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Navarretia divaricata ssp. vividior,Accepted (terminal),Synonym of Navarretia modocensis,12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Navarretia modocensis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Phlox longifolia,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Phlox longifolia ssp. longifolia,Accepted (terminal),Synonym of Phlox longifolia,12-Oct-20,,,,,,
v 2.0,Polemoniaceae,Polemonium elegans,Accepted (terminal),Excluded,12-Oct-20,,,,,,
v 2.0,Polygonaceae,Eriogonum pyrolifolium,Accepted (terminal),Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Polygonaceae,Eriogonum pyrolifolium var. coryphaeum,Synonym of Eriogonum pyrolifolium,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Polygonaceae,Eriogonum pyrolifolium var. pyrolifolium,Synonym of Eriogonum pyrolifolium,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Polygonaceae,Rumex salicifolius,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Polygonaceae,Rumex salicifolius var. lacustris,Accepted (terminal),Synonym of Rumex salicifolius,12-Oct-20,,,,,,
v 2.0,Polygonaceae,Rumex salicifolius var. mexicanus,Accepted (terminal),Synonym of Rumex salicifolius,12-Oct-20,,,,,,
v 2.0,Polygonaceae,Rumex salicifolius var. salicifolius,Accepted (terminal),Synonym of Rumex salicifolius,12-Oct-20,,,,,,
v 2.0,Polygonaceae,Rumex salicifolius var. transitorius,Accepted (terminal),Synonym of Rumex salicifolius,12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon conjugens,Accepted (terminal),Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon conjugens var. conjugens,Synonym of Dodecatheon conjugens,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon dentatum,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon dentatum ssp. dentatum,Accepted (terminal),Synonym of Dodecatheon dentatum,12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon pulchellum ssp. macrocarpum,Accepted (terminal),Synonym of Dodecatheon pulchellum var. macrocarpum,12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon pulchellum ssp. monanthum,Accepted (terminal),Synonym of Dodecatheon pulchellum.var. monanthum.,12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon pulchellum ssp. pulchellum,Accepted (terminal),Synonym of Dodecatheon pulchellum var. pulchellum,12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon pulchellum var. macrocarpum,Synonym of Dodecatheon pulchellum ssp. macrocarpum,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon pulchellum var. monanthum,Synonym of Dodecatheon pulchellum ssp. monanthum,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Primulaceae,Dodecatheon pulchellum var. pulchellum,Synonym of Dodecatheon pulchellum ssp. pulchellum,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Pteridaceae,Adiantum aleuticum,Accepted (terminal),Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Pteridaceae,Adiantum aleuticum var. aleuticum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Pteridaceae,Adiantum shastense,Accepted (terminal),Excluded,12-Oct-20,,,,,,
v 2.0,Pteridaceae,Cheilanthes covillei,Accepted (terminal),Synonym of Myriopteris covillei,12-Oct-20,,,,,,
v 2.0,Pteridaceae,Cheilanthes feei,Accepted (terminal),Synonym of Myriopteris gracilis,12-Oct-20,,,,,,
v 2.0,Pteridaceae,Cheilanthes gracillima,Accepted (terminal),Synonym of Myriopteris gracillima,12-Oct-20,,,,,,
v 2.0,Pteridaceae,Cheilanthes intertexta,Accepted (terminal),Synonym of Myriopteris intertexta,12-Oct-20,,,,,,
v 2.0,Pteridaceae,Myriopteris covillei,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Pteridaceae,Myriopteris gracilis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Pteridaceae,Myriopteris gracillima,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Pteridaceae,Myriopteris intertexta,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Caltha biflora,Synonym of Caltha leptosepala,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Caltha chionophila,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Caltha leptosepala,Accepted (terminal),Ambiguous,12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Cimicifuga elata,Accepted (terminal),Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Cimicifuga elata var. alpestris,Synonym of Cimicifuga elata,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Cimicifuga elata var. elata,Synonym of Cimicifuga elata,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Clematis lasiantha,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Consolida ajacis,Synonym of Delphinium ajacis,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Delphinium ajacis,Accepted (terminal),Synonym of Consolida ajacis,12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Delphinium andersonii,Accepted (terminal),Synonym of Delphinium scaposum var. andersonii,12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Delphinium glareosum × Delphinium menziesii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Delphinium menziesii × Delphinium pavonaceum,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Delphinium scaposum,Synonym of Delphinium andersonii,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Delphinium scaposum var. andersonii,Synonym of Delphinium andersonii,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Ficaria verna,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Ranunculus bonariensis,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Ranunculus bonariensis var. trisepalus,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Ranunculaceae,Ranunculus ficaria,Accepted (terminal),Synonym of Ficaria verna,12-Oct-20,,,,,,
v 2.0,Rhamnaceae,Ceanothus arcuatus,Accepted (terminal),Synonym of Ceanothus cuneatus × Ceanothus prostratratus,12-Oct-20,,,,,,
v 2.0,Rhamnaceae,Ceanothus cuneatus × Ceanothus prostratus,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rhamnaceae,Ceanothus integerrimus,Accepted (terminal),Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Rhamnaceae,Ceanothus integerrimus var. macrothyrsus,Synonym of Ceanothus integerrimus,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rhamnaceae,Ceanothus thyrsiflorus,Accepted (terminal),Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Rhamnaceae,Ceanothus thyrsiflorus var. thyrsiflorus,Synonym of Ceanothus thyrsiflorus,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Drymocallis arguta,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Geum macrophyllum,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Geum macrophyllum var. macrophyllum,Accepted (terminal),Synonym of Geum macrophyllum,12-Oct-20,,,,,,
v 2.0,Rosaceae,Geum macrophyllum var. perincisum,Accepted (terminal),Synonym of Geum macrophyllum,12-Oct-20,,,,,,
v 2.0,Rosaceae,Geum rossii,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Geum rossii var. turbinatum,Accepted (terminal),Synonym of Geum rossii,12-Oct-20,,,,,,
v 2.0,Rosaceae,Ivesia rhypara,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Ivesia rhypara var. rhypara,Accepted (terminal),Synonym of Ivesia rhypara,12-Oct-20,,,,,,
v 2.0,Rosaceae,Ivesia rhypara var. shellyi,Accepted (terminal),Synonym of Ivesia rhypara,12-Oct-20,,,,,,
v 2.0,Rosaceae,Malus domestica × Malus sieboldii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Malus hupehensis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Malus prunifolia,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Potentilla hookeriana,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Potentilla versicolor,Accepted (terminal),Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Potentilla versicolor var. darrachii,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Potentilla versicolor var. versicolor,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Prunus armeniaca,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Prunus dulcis,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Prunus serotina,Under evaluation,Accepted (not terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Prunus serotina var. serotina,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Pyrus pashia,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Rubus nutkanus,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Rosaceae,Rubus parviflorus,Accepted (terminal),Synonym of Rubus nutkanus,12-Oct-20,,,,,,
v 2.0,Rosaceae,Spiraea betulifolia,Accepted (not terminal),Synonym of Spiraea lucida,12-Oct-20,,,,,,
v 2.0,Rosaceae,Spiraea betulifolia var. lucida,Accepted (terminal),Synonym of Spiraea lucida,12-Oct-20,,,,,,
v 2.0,Rosaceae,Spiraea lucida,Synonym of Spiraea betulifolia var. lucida,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Salicaceae,Populus nigra,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Salicaceae,Populus nigra var. italica,Accepted (terminal),Synonym of Populus nigra,12-Oct-20,,,,,,
v 2.0,Salicaceae,Salix × pendulina,Accepted (terminal),Synonym of Salix × sepulcralis,12-Oct-20,,,,,,
v 2.0,Salicaceae,Salix × sepulcralis,Misapplied to Salix × pendulina,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Salicaceae,Salix boothii × Salix commutata,Under evaluation,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Salicaceae,Salix exigua var. sessilifolia,Accepted (terminal),Synonym of Salix sessilifolia,12-Oct-20,,,,,,
v 2.0,Salicaceae,Salix purpurea,Excluded,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Salicaceae,Salix sessilifolia,Synonym of Salix exigua var. sessilifolia,Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Sapindaceae,Acer glabrum var. diffusum,Accepted (terminal),Excluded,12-Oct-20,,,,,,
v 2.0,Saxifragaceae,Elmera racemosa,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Saxifragaceae,Elmera racemosa var. racemosa,Accepted (terminal),Synonym of Elmera racemosa,12-Oct-20,,,,,,
v 2.0,Saxifragaceae,Heuchera cylindrica,Accepted (not terminal),Accepted (terminal),12-Oct-20,,,,,,
v 2.0,Saxifragaceae,Heuchera cylindrica var. alpina,Accepted (terminal),Synonym of Heuchera cylindrica,12-Oct-20,,,,,,
