Version,Family,Scientific name,Previously,As of the stated version,Date,,,,,,
v 2.1,Hydrophyllaceae,Phacelia ciliata,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Hydrophyllaceae,Phacelia humilis,Accepted (not terminal),Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Hydrophyllaceae,Phacelia humilis var. humilis,Synonym of Phacelia humilis,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Hypericaceae,Hypericum boreale,Synonym of Hypericum mutilum ssp. boreale,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Hypericaceae,Hypericum mutilum,Accepted (not terminal),Synonym of Hypericum boreale (Britton) E.P. Bicknell,07-Jan-23,,,,,,
v 2.1,Hypericaceae,Hypericum mutilum ssp. boreale,Accepted (terminal),Synonym of Hypericum boreale (Britton) E.P. Bicknell,07-Jan-23,,,,,,
v 2.1,Hypericaceae,Hypericum perforatum,Accepted (not terminal),Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Hypericaceae,Hypericum perforatum ssp. perforatum,Synonym of Hypericum perforatum,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Iridaceae,Iris orientalis,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Lamiaceae,Lavandula angustifolia,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Lamiaceae,Lycopus europaeus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Lamiaceae,Mentha × piperita ssp. citrata,Accepted (terminal),Synonym of Mentha × piperita L. ssp. piperita,07-Jan-23,,,,,,
v 2.1,Lamiaceae,Monardella sheltonii,Synonym of Monardella villosa ssp. sheltonii,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Lamiaceae,Monardella villosa ssp. sheltonii,Accepted (terminal),Synonym of Monardella sheltonii Torr.,07-Jan-23,,,,,,
v 2.1,Lamiaceae,Pogogyne serpylloides,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Lentibulariaceae,Pinguicula vulgaris,Accepted (terminal),Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Lentibulariaceae,Pinguicula vulgaris ssp. macroceras,Accepted (terminal),Synonym of Pinguicula vulgaris L.,07-Jan-23,,,,,,
v 2.1,Liliaceae,Lilium washingtonianum ssp. washingtonianum,Accepted (terminal),Excluded,07-Jan-23,,,,,,
v 2.1,Malvaceae,Sidalcea asprella,Synonym of Sidalcea malviflora ssp. asprella,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Malvaceae,Sidalcea asprella ssp. asprella,Synonym of Sidalcea malviflora ssp. asprella,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Malvaceae,Sidalcea asprella ssp. elegans,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Malvaceae,Sidalcea asprella ssp. nana,Synonym of Sidalcea malviflora ssp. asprella,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Malvaceae,Sidalcea asprella ssp. virgata,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Malvaceae,Sidalcea malviflora,Accepted (not terminal),Ambiguous,07-Jan-23,,,,,,
v 2.1,Malvaceae,Sidalcea malviflora ssp. asprella,Accepted (terminal),Synonym of Sidalcea asprella Greene,07-Jan-23,,,,,,
v 2.1,Malvaceae,Sidalcea malviflora ssp. virgata,Accepted (terminal),Synonym of Sidalcea asprella Greene ssp. virgata (Howell) Halse,07-Jan-23,,,,,,
v 2.1,Martyniaceae,Proboscidea louisianica,Accepted (terminal),Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Martyniaceae,Proboscidea louisianica ssp. louisianica,Accepted (terminal),Synonym of Proboscidea louisianica (Mill.) Thell.,07-Jan-23,,,,,,
v 2.1,Oleaceae,Syringa vulgaris,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Onagraceae,Chamaenerion angustifolium ssp. circumvagum,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Onagraceae,Chamaenerion angustifolium var. canescens,Accepted (terminal),Synonym of Chamaenerion angustifolium (L.) Scop. ssp. circumvagum (Mosquin) Moldenke,07-Jan-23,,,,,,
v 2.1,Onagraceae,Circaea alpina,Accepted (not terminal),Synonym of Circaea pacifica Asch. & Magnus,07-Jan-23,,,,,,
v 2.1,Onagraceae,Circaea alpina,Accepted (not terminal),Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Onagraceae,Circaea alpina ssp. pacifica,Accepted (terminal),Synonym of Circaea pacifica Asch. & Magnus,07-Jan-23,,,,,,
v 2.1,Onagraceae,Circaea pacifica,Synonym of Circaea alpina ssp. pacifica,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Onagraceae,Epilobium saximontanum,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Onagraceae,Oenothera flava,Accepted (terminal),Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Onagraceae,Oenothera flava ssp. flava,Accepted (terminal),Synonym of Oenothera flava (A. Nelson) Garrett,07-Jan-23,,,,,,
v 2.1,Onagraceae,Oenothera suffrutescens,Accepted (terminal),Excluded,07-Jan-23,,,,,,
v 2.1,Ophioglossaceae,Botrychium lunaria,Accepted (terminal),Misapplied to Botrychium neolunaria,07-Jan-23,,,,,,
v 2.1,Ophioglossaceae,Botrychium neolunaria,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Orobanchaceae,Aphyllon fasciculatum,Accepted (terminal),Ambiguous,07-Jan-23,,,,,,
v 2.1,Orobanchaceae,Aphyllon fransciscanum,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Orobanchaceae,Castilleja lutea,Accepted (terminal),Synonym of Castilleja cusickii Greenm.,07-Jan-23,,,,,,
v 2.1,Oxalidaceae,Oxalis albicans,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Papaveraceae,Chelidonium majus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Papaveraceae,Fumaria parviflora,Accepted (terminal),Misapplied to Fumaria vaillantii,07-Jan-23,,,,,,
v 2.1,Papaveraceae,Fumaria vaillantii,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Plantaginaceae,Linaria grandiflora,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Plantaginaceae,Penstemon curtiflorus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Plantaginaceae,Penstemon hesperius,Synonym of Penstemon rydbergii var. oreocharis,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Plantaginaceae,Penstemon richardsonii var. curtiflorus,Accepted (terminal),Synonym of Penstemon curtiflorus (D.D. Keck) N.H. Holmgren,07-Jan-23,,,,,,
v 2.1,Plantaginaceae,Penstemon triphyllus,Accepted (not terminal),Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Plantaginaceae,Penstemon triphyllus var. infernalis,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Plantaginaceae,Penstemon triphyllus var. triphyllus,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Platanaceae,Platanus × hispanica,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Plumbaginaceae,Armeria maritima ssp. californica,Synonym of Armeria maritima var. californica,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Plumbaginaceae,Armeria maritima var. californica,Accepted (terminal),Excluded,07-Jan-23,,,,,,
v 2.1,Poaceae,Alopecurus arundinaceus,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Ammophila arenaria,Accepted (not terminal),Synonym of Calamagrostis arenaria (L.) Roth,07-Jan-23,,,,,,
v 2.1,Poaceae,Ammophila arenaria ssp. arenaria,Accepted (terminal),Synonym of Calamagrostis arenaria (L.) Roth ssp. arenaria,07-Jan-23,,,,,,
v 2.1,Poaceae,Ammophila breviligulata,Accepted (not terminal),"Synonym of Calamagrostis breviligulata 	(Fernald) Saarela",07-Jan-23,,,,,,
v 2.1,Poaceae,Ammophila breviligulata ssp. breviligulata,Accepted (terminal),"Synonym of Calamagrostis breviligulata 	(Fernald) Saarela ssp. breviligulata",07-Jan-23,,,,,,
v 2.1,Poaceae,Arundo donax,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Bouteloua dactyloides,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Bouteloua gracilis,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Calamagrostis arenaria,Under evaluation,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Calamagrostis arenaria ssp. arenaria,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Calamagrostis breviligulata,Under evaluation,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Calamagrostis breviligulata ssp. breviligulata,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Deschampsia bolanderi,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Dichanthelium commutatum,Under evaluation,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Dichanthelium commutatum var. commutatum,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Graphephorum canescens,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Graphephorum cernuum,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Graphephorum wolfii,Synonym of Trisetum wolfii,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Lagurus ovatus,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Miscanthus sinensis,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Panicum virgatum,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Pennisetum orientale,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Poa glauca ssp. glauca,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Pseudosasa japonica,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Scribneria bolanderi,Accepted (terminal),"Synonym of Deschampsia bolanderi 	(Thurb.) Saarela",07-Jan-23,,,,,,
v 2.1,Poaceae,Thinopyrum obtusiflorum,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Thinopyrum obtusiflorum × Triticum aestivum,Under evaluation,Accepted,07-Jan-23,,,,,,
v 2.1,Poaceae,Thinopyrum ponticum,Accepted (terminal),Synonym of Thinopyrum obtusiflorum (DC.) Banfi,07-Jan-23,,,,,,
v 2.1,Poaceae,Thinopyrum ponticum × Triticum aestivum,Accepted,Synonym of Thinopyrum obtusiflorum (DC.) Banfi × Triticum aestivum L.,07-Jan-23,,,,,,
v 2.1,Poaceae,Trisetum canescens,Accepted (terminal),Synonym of Graphephorum canescens (Buckley) Röser & Tkach,07-Jan-23,,,,,,
v 2.1,Poaceae,Trisetum cernuum,Accepted (terminal),"Synonym of Graphephorum cernuum 	(Trin.) Röser & Tkach",07-Jan-23,,,,,,
v 2.1,Poaceae,Trisetum wolfii,Accepted (terminal),Synonym of Graphephorum wolfii (Vasey) Vasey ex  Coult.,07-Jan-23,,,,,,
v 2.1,Poaceae,Zea mays,Excluded,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Poaceae,Zea mays ssp. mays,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polemoniaceae,Navarretia linearifolia,Under evaluation,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Polemoniaceae,Navarretia linearifolia ssp. linearifolia,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Aconogonon davisiae,Accepted (not terminal),Synonym of Koenigia davisiae (A. Gray) T.M. Schust. & Reveal,07-Jan-23,,,,,,
v 2.1,Polygonaceae,Aconogonon davisiae var. davisiae,Accepted (terminal),Synonym of Koenigia davisiae (A. Gray) T.M. Schust. & Reveal var. davisiae,07-Jan-23,,,,,,
v 2.1,Polygonaceae,Aconogonon phytolaccifolium,Accepted (terminal),Synonym of Koenigia phytolaccifolia (Small) T.M. Schust. & Reveal,07-Jan-23,,,,,,
v 2.1,Polygonaceae,Aconogonon phytolaccifolium,Accepted (terminal),Accepted (not terminal),07-Jan-23,,,,,,
