Group,Family,Taxon,Taxonomic status,Accepted name for Taxon,Taxonomic note
Dicotyledons,Amaranthaceae,Chenopodium humile,Synonym,Chenopodium rubrum var. humile,
Dicotyledons,Amaranthaceae,Chenopodium hybridum,Misapplied,Chenopodium simplex,
Dicotyledons,Amaranthaceae,Chenopodium incanum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium incanum var. occidentale,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium incognitum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum var. leptophyllum,Synonym,Chenopodium leptophyllum,
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum var. oblongifolium,Synonym,Chenopodium desiccatum,
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum var. subglabrum,Misapplied,Chenopodium subglabrum,
Dicotyledons,Amaranthaceae,Chenopodium multifida,Synonym,Dysphania multifida,orthographic variant
Dicotyledons,Amaranthaceae,Chenopodium multifidum,Synonym,Dysphania multifida,
Dicotyledons,Amaranthaceae,Chenopodium murale,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium nevadense,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium polyspermum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium polyspermum var. acutifolium,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium pratericola,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium pumilio,Synonym,Dysphania pumilio,
Dicotyledons,Amaranthaceae,Chenopodium rubrum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium rubrum var. humile,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium rubrum var. rubrum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium salinum,Synonym,Chenopodium glaucum,
Dicotyledons,Amaranthaceae,Chenopodium scoparium,Synonym,Bassia scoparia,
Dicotyledons,Amaranthaceae,Chenopodium simplex,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium strictum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium strictum var. glaucophyllum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium subglabrum,Accepted,,
Dicotyledons,Amaranthaceae,Chenopodium virgatum,Synonym,Chenopodium foliosum,
Dicotyledons,Amaranthaceae,Chenopodium vulvaria,Accepted,,
Dicotyledons,Amaranthaceae,Corispermum americanum,Accepted,,
Dicotyledons,Amaranthaceae,Corispermum americanum var. americanum,Accepted,,
Dicotyledons,Amaranthaceae,Corispermum hyssopifolium,Misapplied,Corispermum americanum var. americanum,
Dicotyledons,Amaranthaceae,Corispermum hyssopifolium,Misapplied,Corispermum pacificum,
Dicotyledons,Amaranthaceae,Corispermum pacificum,Accepted,,
Dicotyledons,Amaranthaceae,Corispermum pacificum × Corispermum villosum,Accepted,,
Dicotyledons,Amaranthaceae,Corispermum villosum,Accepted,,
Dicotyledons,Amaranthaceae,Dysphania ambrosioides,Accepted,,
Dicotyledons,Amaranthaceae,Dysphania anthelmintica,Synonym,Dysphania ambrosioides,
Dicotyledons,Amaranthaceae,Dysphania botrys,Accepted,,
Dicotyledons,Amaranthaceae,Dysphania multifida,Accepted,,
Dicotyledons,Amaranthaceae,Dysphania pumilio,Accepted,,
Dicotyledons,Amaranthaceae,Echinopsilon hyssopifolium,Synonym,Bassia hyssopifolia,
Dicotyledons,Amaranthaceae,Eurotia lanata,Synonym,Krascheninnikovia lanata,
Dicotyledons,Amaranthaceae,Grayia spinosa,Accepted,,
Dicotyledons,Amaranthaceae,Halogeton glomeratus,Accepted,,
Dicotyledons,Amaranthaceae,Kochia americana,Synonym,Neokochia americana,
Dicotyledons,Amaranthaceae,Kochia scoparia,Synonym,Bassia scoparia,
Dicotyledons,Amaranthaceae,Kochia scoparia ssp. scoparia,Synonym,Bassia scoparia,
Dicotyledons,Amaranthaceae,Kochia vestita,Synonym,Neokochia americana,
Dicotyledons,Amaranthaceae,Krascheninnikovia lanata,Accepted,,
Dicotyledons,Amaranthaceae,Micromonolepis pusilla,Accepted,,
Dicotyledons,Amaranthaceae,Monolepis nuttalliana,Synonym,Blitum nuttallianum,
Dicotyledons,Amaranthaceae,Monolepis pusilla,Synonym,Micromonolepis pusilla,
Dicotyledons,Amaranthaceae,Monolepis spathulata,Synonym,Blitum spathulatum,
