Group,Family,Taxon,Taxonomic status,Accepted name for Taxon,Taxonomic note
Dicotyledons,Caryophyllaceae,Silene gallica,Accepted,,
Dicotyledons,Caryophyllaceae,Silene grandis,Synonym,Silene scouleri ssp. scouleri,
Dicotyledons,Caryophyllaceae,Silene grayi,Accepted,,
Dicotyledons,Caryophyllaceae,Silene hookeri,Accepted,,
Dicotyledons,Caryophyllaceae,Silene hookeri ssp. bolanderi,Synonym,Silene bolanderi,
Dicotyledons,Caryophyllaceae,Silene hookeri ssp. hookeri,Accepted,,
Dicotyledons,Caryophyllaceae,Silene hookeri ssp. pulverulenta,Synonym,Silene hookeri ssp. hookeri,
Dicotyledons,Caryophyllaceae,Silene hookeri ssp. serpentinicola,Accepted,,
Dicotyledons,Caryophyllaceae,Silene insectivora,Synonym,Silene pectinata,
Dicotyledons,Caryophyllaceae,Silene latifolia,Synonym,Silene vulgaris,later homonym
Dicotyledons,Caryophyllaceae,Silene latifolia,Accepted,,
Dicotyledons,Caryophyllaceae,Silene latifolia ssp. alba,Synonym,Silene latifolia,
Dicotyledons,Caryophyllaceae,Silene lemmonii,Accepted,,
Dicotyledons,Caryophyllaceae,Silene macounii,Synonym,Silene parryi,
Dicotyledons,Caryophyllaceae,Silene menziesii,Accepted,,
Dicotyledons,Caryophyllaceae,Silene menziesii var. menziesii,Synonym,Silene menziesii,
Dicotyledons,Caryophyllaceae,Silene menziesii var. viscosa,Synonym,Silene menziesii,
Dicotyledons,Caryophyllaceae,Silene montana,Synonym,Silene bernardina,
Dicotyledons,Caryophyllaceae,Silene noctiflora,Accepted,,
Dicotyledons,Caryophyllaceae,Silene nuda,Accepted,,
Dicotyledons,Caryophyllaceae,Silene oraria,Synonym,Silene douglasii var. oraria,
Dicotyledons,Caryophyllaceae,Silene oregana,Accepted,,
Dicotyledons,Caryophyllaceae,Silene pacifica,Synonym,Silene scouleri ssp. scouleri,
Dicotyledons,Caryophyllaceae,Silene parryi,Accepted,,
Dicotyledons,Caryophyllaceae,Silene pectinata,Accepted,,
Dicotyledons,Caryophyllaceae,Silene pendula,Accepted,,
Dicotyledons,Caryophyllaceae,Silene pulverulenta,Synonym,Silene hookeri ssp. hookeri,
Dicotyledons,Caryophyllaceae,Silene scaposa,Accepted,,
Dicotyledons,Caryophyllaceae,Silene scaposa var. lobata,Synonym,Silene nuda,
Dicotyledons,Caryophyllaceae,Silene scaposa var. scaposa,Synonym,Silene scaposa,
Dicotyledons,Caryophyllaceae,Silene scouleri,Accepted,,
Dicotyledons,Caryophyllaceae,Silene scouleri ssp. grandis,Synonym,Silene scouleri ssp. scouleri,
Dicotyledons,Caryophyllaceae,Silene scouleri ssp. scouleri,Accepted,,
Dicotyledons,Caryophyllaceae,Silene scouleri var. pacifica,Synonym,Silene scouleri ssp. scouleri,
Dicotyledons,Caryophyllaceae,Silene scouleri var. scouleri,Synonym,Silene scouleri ssp. scouleri,
Dicotyledons,Caryophyllaceae,Silene serpentinicola,Synonym,Silene hookeri ssp. serpentinicola,
Dicotyledons,Caryophyllaceae,Silene spaldingii,Accepted,,
Dicotyledons,Caryophyllaceae,Silene suksdorfii,Accepted,,
Dicotyledons,Caryophyllaceae,Silene vulgaris,Accepted,,
Dicotyledons,Caryophyllaceae,Spergula arvensis,Accepted,,
Dicotyledons,Caryophyllaceae,Spergula arvensis ssp. arvensis,Synonym,Spergula arvensis,
Dicotyledons,Caryophyllaceae,Spergula arvensis var. arvensis,Synonym,Spergula arvensis,
Dicotyledons,Caryophyllaceae,Spergula arvensis var. sativa,Synonym,Spergula arvensis,
Dicotyledons,Caryophyllaceae,Spergularia bocconi,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia bocconii,Synonym,Spergularia bocconi,
Dicotyledons,Caryophyllaceae,Spergularia canadensis,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia canadensis var. occidentalis,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia diandra,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia macrotheca,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia macrotheca var. macrotheca,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia marina,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia media,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia media var. media,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia rubra,Accepted,,
Dicotyledons,Caryophyllaceae,Spergularia salina,Synonym,Spergularia marina,
Dicotyledons,Caryophyllaceae,Spergularia salina var. salina,Synonym,Spergularia marina,
Dicotyledons,Caryophyllaceae,Spergularia villosa,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria aquatica,Synonym,Myosoton aquaticum,
Dicotyledons,Caryophyllaceae,Stellaria borealis,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria borealis × Stellaria longifolia,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria borealis ssp. borealis,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria borealis ssp. sitchana,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria borealis var. bongardiana,Synonym,Stellaria borealis ssp. borealis,
Dicotyledons,Caryophyllaceae,Stellaria borealis var. simcoei,Synonym,Stellaria calycantha,
Dicotyledons,Caryophyllaceae,Stellaria borealis var. sitchana,Synonym,Stellaria borealis ssp. sitchana,
Dicotyledons,Caryophyllaceae,Stellaria calycantha,Synonym,Stellaria borealis,in part
Dicotyledons,Caryophyllaceae,Stellaria calycantha,Accepted,,sensu stricto
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. bongardiana,Synonym,Stellaria borealis ssp. sitchana,
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. calycantha,Synonym,Stellaria calycantha,
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. floribunda,Synonym,Stellaria borealis ssp. borealis,
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. simcoei,Synonym,Stellaria calycantha,
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. sitchana,Synonym,Stellaria borealis ssp. sitchana,
Dicotyledons,Caryophyllaceae,Stellaria crispa,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria graminea,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria humifusa,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria jamesiana,Synonym,Pseudostellaria jamesiana,
Dicotyledons,Caryophyllaceae,Stellaria longifolia,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria longipes,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria longipes ssp. longipes,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria longipes var. altocaulis,Synonym,Stellaria longipes ssp. longipes,
Dicotyledons,Caryophyllaceae,Stellaria longipes var. laeta,Synonym,Stellaria longipes ssp. longipes,
Dicotyledons,Caryophyllaceae,Stellaria longipes var. longipes,Synonym,Stellaria longipes ssp. longipes,
Dicotyledons,Caryophyllaceae,Stellaria media,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria nitens,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria obtusa,Accepted,,
Dicotyledons,Caryophyllaceae,Stellaria simcoei,Synonym,Stellaria calycantha,
Dicotyledons,Caryophyllaceae,Stellaria umbellata,Accepted,,
Dicotyledons,Caryophyllaceae,Vaccaria hispanica,Accepted,,
Dicotyledons,Caryophyllaceae,Vaccaria segetalis,Synonym,Vaccaria hispanica,
Dicotyledons,Caryophyllaceae,Vaccaria vulgaris,Synonym,Vaccaria hispanica,
Dicotyledons,Celastraceae,Euonymus europaeus,Accepted,,
Dicotyledons,Celastraceae,Euonymus fortunei,Accepted,,
Dicotyledons,Celastraceae,Euonymus occidentalis,Accepted,,
Dicotyledons,Celastraceae,Euonymus occidentalis var. occidentalis,Synonym,Euonymus occidentalis,
Dicotyledons,Celastraceae,Pachistima myrsinites,Synonym,Paxistima myrsinites,orthographic variant
Dicotyledons,Celastraceae,Pachystima myrsinites,Synonym,Paxistima myrsinites,orthographic variant
Dicotyledons,Celastraceae,Paxistima myrsinites,Accepted,,
Dicotyledons,Ceratophyllaceae,Ceratophyllum demersum,Accepted,,
Dicotyledons,Ceratophyllaceae,Ceratophyllum echinatum,Accepted,,
Dicotyledons,Cleomaceae,Cleome lutea,Synonym,Peritoma lutea,
Dicotyledons,Cleomaceae,Cleome platycarpa,Synonym,Peritoma platycarpa,
Dicotyledons,Cleomaceae,Cleome serrulata,Synonym,Peritoma serrulata,
Dicotyledons,Cleomaceae,Cleomella hillmanii,Accepted,,
Dicotyledons,Cleomaceae,Cleomella hillmanii var. hillmanii,Accepted,,
Dicotyledons,Cleomaceae,Cleomella macbrideana,Synonym,Cleomella hillmanii var. hillmanii,
Dicotyledons,Cleomaceae,Cleomella plocasperma,Accepted,,
Dicotyledons,Cleomaceae,Peritoma lutea,Accepted,,
Dicotyledons,Cleomaceae,Peritoma platycarpa,Accepted,,
Dicotyledons,Cleomaceae,Peritoma serrulata,Accepted,,
Dicotyledons,Cleomaceae,Polanisia dodecandra,Accepted,,
Dicotyledons,Cleomaceae,Polanisia dodecandra ssp. dodecandra,Accepted,,
Dicotyledons,Cleomaceae,Polanisia dodecandra ssp. trachysperma,Accepted,,
Dicotyledons,Cleomaceae,Polanisia trachysperma,Synonym,Polanisia dodecandra ssp. trachysperma,
Dicotyledons,Comandraceae,Comandra californica,Synonym,Comandra umbellata,
Dicotyledons,Comandraceae,Comandra pallida,Synonym,Comandra umbellata,
Dicotyledons,Comandraceae,Comandra umbellata,Accepted,,
Dicotyledons,Comandraceae,Comandra umbellata ssp. californica,Synonym,Comandra umbellata,
Dicotyledons,Comandraceae,Comandra umbellata ssp. pallida,Synonym,Comandra umbellata,
Dicotyledons,Comandraceae,Comandra umbellata var. californica,Synonym,Comandra umbellata,
Dicotyledons,Comandraceae,Comandra umbellata var. pallida,Synonym,Comandra umbellata,
Dicotyledons,Convolvulaceae,Calystegia atriplicifolia,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia atriplicifolia ssp. atriplicifolia,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia occidentalis,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia occidentalis ssp. occidentalis,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia polymorpha,Synonym,Calystegia occidentalis ssp. occidentalis,
Dicotyledons,Convolvulaceae,Calystegia sepium,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia sepium ssp. angulata,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia sepium ssp. erratica,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia silvatica,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia silvatica ssp. disjuncta,Accepted,,
Dicotyledons,Convolvulaceae,Calystegia soldanella,Accepted,,
Dicotyledons,Convolvulaceae,Convolvulus arvensis,Accepted,,
Dicotyledons,Convolvulaceae,Convolvulus nyctagineus,Synonym,Calystegia atriplicifolia ssp. atriplicifolia,
Dicotyledons,Convolvulaceae,Convolvulus occidentalis ssp. fruticetorum,Synonym,Calystegia occidentalis ssp. occidentalis,
Dicotyledons,Convolvulaceae,Convolvulus polymorphus,Synonym,Calystegia occidentalis ssp. occidentalis,
Dicotyledons,Convolvulaceae,Convolvulus sepium,Synonym,Calystegia silvatica ssp. disjuncta,in part
Dicotyledons,Convolvulaceae,Convolvulus sepium,Synonym,Calystegia sepium ssp. angulata,in part
Dicotyledons,Convolvulaceae,Convolvulus sepium var. communis,Synonym,Calystegia sepium ssp. angulata,in part
Dicotyledons,Convolvulaceae,Convolvulus sepium var. communis,Synonym,Calystegia silvatica ssp. disjuncta,in part
Dicotyledons,Convolvulaceae,Convolvulus soldanella,Synonym,Calystegia soldanella,
Dicotyledons,Convolvulaceae,Cressa truxillensis,Accepted,,
Dicotyledons,Convolvulaceae,Cressa truxillensis var. vallicola,Synonym,Cressa truxillensis,
Dicotyledons,Convolvulaceae,Cuscuta approximata,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta approximata var. approximata,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta approximata var. urceolata,Synonym,Cuscuta approximata var. approximata,
Dicotyledons,Convolvulaceae,Cuscuta brachycalyx,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta californica,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta californica var. breviflora,Synonym,Cuscuta occidentalis,
Dicotyledons,Convolvulaceae,Cuscuta californica var. californica,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta campestris,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta cephalanthi,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta epithymum,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta epithymum var. epithymum,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta indecora,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta indecora var. indecora,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta indecora var. neuropetala,Synonym,Cuscuta indecora var. indecora,
Dicotyledons,Convolvulaceae,Cuscuta occidentalis,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta pacifica,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta pacifica var. pacifica,Accepted,,
Dicotyledons,Convolvulaceae,Cuscuta pentagona,Misapplied,Cuscuta campestris,
Dicotyledons,Convolvulaceae,Cuscuta pentagona var. calycina,Synonym,Cuscuta campestris,
Dicotyledons,Convolvulaceae,Cuscuta pentagona var. pentagona,Misapplied,Cuscuta campestris,
Dicotyledons,Convolvulaceae,Cuscuta salina,Misapplied,Cuscuta pacifica var. pacifica,
Dicotyledons,Convolvulaceae,Cuscuta salina var. major,Misapplied,Cuscuta pacifica var. pacifica,
Dicotyledons,Convolvulaceae,Cuscuta salina var. salina,Synonym,Cuscuta pacifica var. pacifica,
Dicotyledons,Convolvulaceae,Cuscuta suksdorfii,Accepted,,
Dicotyledons,Convolvulaceae,Dichondra donelliana,Accepted,,
Dicotyledons,Convolvulaceae,Dichondra occidentalis,Misapplied,Dichondra donelliana,
Dicotyledons,Cornaceae,Cornus × californica,Synonym,Cornus sericea,
Dicotyledons,Cornaceae,Cornus canadensis,Misapplied,Cornus unalaschkensis,
Dicotyledons,Cornaceae,Cornus glabrata,Accepted,,
Dicotyledons,Cornaceae,Cornus nuttallii,Accepted,,
Dicotyledons,Cornaceae,Cornus obliqua,Accepted,,
Dicotyledons,Cornaceae,Cornus occidentalis,Synonym,Cornus sericea,
Dicotyledons,Cornaceae,Cornus sericea,Accepted,,
Dicotyledons,Cornaceae,Cornus sericea ssp. occidentalis,Synonym,Cornus sericea,
Dicotyledons,Cornaceae,Cornus sericea ssp. sericea,Synonym,Cornus sericea,
Dicotyledons,Cornaceae,Cornus sessilis,Accepted,,
Dicotyledons,Cornaceae,Cornus stolonifera,Synonym,Cornus sericea,
Dicotyledons,Cornaceae,Cornus stolonifera var. occidentalis,Synonym,Cornus sericea,
Dicotyledons,Cornaceae,Cornus unalaschkensis,Accepted,,
Dicotyledons,Crassulaceae,Crassula aquatica,Accepted,,
Dicotyledons,Crassulaceae,Crassula connata,Accepted,,
Dicotyledons,Crassulaceae,Crassula solieri,Accepted,,
Dicotyledons,Crassulaceae,Crassula tillaea,Accepted,,
Dicotyledons,Crassulaceae,Dudleya farinosa,Accepted,,
Dicotyledons,Crassulaceae,Gormania debilis,Synonym,Sedum debile,
Dicotyledons,Crassulaceae,Gormania glandulifera,Synonym,Sedum moranii,
Dicotyledons,Crassulaceae,Gormania laxa,Synonym,Sedum laxum ssp. laxum,
Dicotyledons,Crassulaceae,Gormania oregana,Synonym,Sedum oreganum,
Dicotyledons,Crassulaceae,Gormania watsonii,Synonym,Sedum oregonense,
Dicotyledons,Crassulaceae,Parvisedum pumilum,Synonym,Sedella pumila,
Dicotyledons,Crassulaceae,Phedimus spurius,Accepted,,
Dicotyledons,Crassulaceae,Rhodiola integrifolia,Accepted,,
Dicotyledons,Crassulaceae,Rhodiola integrifolia ssp. integrifolia,Accepted,,
Dicotyledons,Crassulaceae,Sedella pumila,Accepted,,
Dicotyledons,Crassulaceae,Sedum acre,Accepted,,
Dicotyledons,Crassulaceae,Sedum album,Accepted,,
Dicotyledons,Crassulaceae,Sedum borschii,Synonym,Sedum leibergii,
Dicotyledons,Crassulaceae,Sedum ciliosum,Synonym,Sedum stenopetalum ssp. ciliosum,
Dicotyledons,Crassulaceae,Sedum debile,Accepted,,
Dicotyledons,Crassulaceae,Sedum divergens,Accepted,,
Dicotyledons,Crassulaceae,Sedum douglasii,Misapplied,Sedum radiatum ssp. depauperatum,
Dicotyledons,Crassulaceae,Sedum douglasii,Synonym,Sedum stenopetalum,
Dicotyledons,Crassulaceae,Sedum douglasii ssp. ciliosum,Synonym,Sedum stenopetalum ssp. ciliosum,
Dicotyledons,Crassulaceae,Sedum douglasii ssp. radiatum,Misapplied,Sedum radiatum ssp. depauperatum,
Dicotyledons,Crassulaceae,Sedum douglasii var. douglasii,Synonym,Sedum stenopetalum ssp. stenopetalum,
Dicotyledons,Crassulaceae,Sedum glanduliferum,Synonym,Sedum moranii,
Dicotyledons,Crassulaceae,Sedum heckneri,Synonym,Sedum laxum ssp. heckneri,
Dicotyledons,Crassulaceae,Sedum lanceolatum,Accepted,,
Dicotyledons,Crassulaceae,Sedum lanceolatum var. lanceolatum,Accepted,,
Dicotyledons,Crassulaceae,Sedum lanceolatum var. rupicola,Misapplied,Sedum lanceolatum,
Dicotyledons,Crassulaceae,Sedum laxum,Accepted,,
Dicotyledons,Crassulaceae,Sedum laxum ssp. heckneri,Accepted,,
Dicotyledons,Crassulaceae,Sedum laxum ssp. latifolium,Synonym,Sedum laxum ssp. laxum,
Dicotyledons,Crassulaceae,Sedum laxum ssp. laxum,Accepted,,
Dicotyledons,Crassulaceae,Sedum laxum ssp. perplexum,Synonym,Sedum laxum ssp. laxum,
Dicotyledons,Crassulaceae,Sedum laxum var. heckneri,Synonym,Sedum laxum ssp. heckneri,
Dicotyledons,Crassulaceae,Sedum laxum var. latifolium,Synonym,Sedum laxum ssp. laxum,
Dicotyledons,Crassulaceae,Sedum laxum var. laxum,Synonym,Sedum laxum ssp. laxum,
Dicotyledons,Crassulaceae,Sedum leibergii,Accepted,,
Dicotyledons,Crassulaceae,Sedum moranii,Accepted,,
Dicotyledons,Crassulaceae,Sedum oblanceolatum,Accepted,,
Dicotyledons,Crassulaceae,Sedum oreganum,Accepted,,
Dicotyledons,Crassulaceae,Sedum oreganum var. oreganum,Synonym,Sedum oreganum,
Dicotyledons,Crassulaceae,Sedum oreganum var. tenue,Synonym,Sedum oreganum,
Dicotyledons,Crassulaceae,Sedum oregonense,Accepted,,
Dicotyledons,Crassulaceae,Sedum radiatum,Accepted,,
Dicotyledons,Crassulaceae,Sedum radiatum ssp. depauperatum,Accepted,,
Dicotyledons,Crassulaceae,Sedum radiatum var. ciliosum,Synonym,Sedum stenopetalum ssp. ciliosum,
Dicotyledons,Crassulaceae,Sedum radiatum var. depauperatum,Synonym,Sedum radiatum ssp. depauperatum,
Dicotyledons,Crassulaceae,Sedum rosea,Synonym,Rhodiola integrifolia,
Dicotyledons,Crassulaceae,Sedum rosea ssp. integrifolium,Synonym,Rhodiola integrifolia ssp. integrifolia,
Dicotyledons,Crassulaceae,Sedum roseum,Synonym,Rhodiola integrifolia,orthographic variant
Dicotyledons,Crassulaceae,Sedum rupicola,Synonym,Sedum lanceolatum,
Dicotyledons,Crassulaceae,Sedum spathulifolium,Accepted,,
Dicotyledons,Crassulaceae,Sedum spathulifolium ssp. pruinosa,Synonym,Sedum spathulifolium,orthographic variant
Dicotyledons,Crassulaceae,Sedum spathulifolium ssp. pruinosum,Synonym,Sedum spathulifolium,
Dicotyledons,Crassulaceae,Sedum spathulifolium ssp. purdyi,Synonym,Sedum spathulifolium,
Dicotyledons,Crassulaceae,Sedum spathulifolium ssp. spathulifolium,Synonym,Sedum spathulifolium,
Dicotyledons,Crassulaceae,Sedum spathulifolium var. minus,Synonym,Sedum spathulifolium,
Dicotyledons,Crassulaceae,Sedum spathulifolium var. pruinosum,Synonym,Sedum spathulifolium,
Dicotyledons,Crassulaceae,Sedum spathulifolium var. spathulifolium,Synonym,Sedum spathulifolium,
Dicotyledons,Crassulaceae,Sedum stenopetalum,Accepted,,
Dicotyledons,Crassulaceae,Sedum stenopetalum,Misapplied,Sedum lanceolatum,
Dicotyledons,Crassulaceae,Sedum stenopetalum ssp. ciliosum,Accepted,,
Dicotyledons,Crassulaceae,Sedum stenopetalum ssp. stenopetalum,Accepted,,
Dicotyledons,Crassulaceae,Sedum stenopetalum var. monanthum,Synonym,Sedum stenopetalum ssp. stenopetalum,
Dicotyledons,Crassulaceae,Sedum stenopetalum var. stenopetalum,Synonym,Sedum stenopetalum ssp. stenopetalum,
Dicotyledons,Crassulaceae,Sedum thartii,Accepted,,
Dicotyledons,Crassulaceae,Tillaea aquatica,Synonym,Crassula aquatica,
Dicotyledons,Crassulaceae,Tillaea erecta,Synonym,Crassula connata,
Dicotyledons,Crassulaceae,Tillaestrum aquaticum,Synonym,Crassula aquatica,
Dicotyledons,Crossosomataceae,Glossopetalon nevadense,Synonym,Glossopetalon spinescens var. aridum,
Dicotyledons,Crossosomataceae,Glossopetalon nevadense var. stipuliferum,Synonym,Glossopetalon spinescens var. aridum,
Dicotyledons,Crossosomataceae,Glossopetalon spinescens,Accepted,,
Dicotyledons,Crossosomataceae,Glossopetalon spinescens var. aridum,Accepted,,
Dicotyledons,Crossosomataceae,Glossopetalon stipulifera,Synonym,Glossopetalon spinescens var. aridum,
Dicotyledons,Cucurbitaceae,Cucumis anguria,Accepted,,
Dicotyledons,Cucurbitaceae,Echinocystis lobata,Accepted,,
Dicotyledons,Cucurbitaceae,Marah fabacea,Accepted,,
Dicotyledons,Cucurbitaceae,Marah oregana,Accepted,,
Dicotyledons,Cucurbitaceae,Marah oreganus,Synonym,Marah oregana,orthographic variant
Dicotyledons,Cucurbitaceae,Marah watsonii,Accepted,,
Dicotyledons,Dipsacaceae,Dipsacus fullonum,Accepted,,
Dicotyledons,Dipsacaceae,Dipsacus laciniatus,Accepted,,
Dicotyledons,Dipsacaceae,Dipsacus sylvestris,Synonym,Dipsacus fullonum,
Dicotyledons,Dipsacaceae,Knautia arvensis,Accepted,,
Dicotyledons,Droseraceae,Drosera × obovata,Accepted,,
Dicotyledons,Droseraceae,Drosera anglica,Accepted,,
Dicotyledons,Droseraceae,Drosera longifolia,Synonym,Drosera anglica,
Dicotyledons,Droseraceae,Drosera rotundifolia,Accepted,,
Dicotyledons,Ehretiaceae,Coldenia nuttallii,Synonym,Tiquilia nuttallii,
Dicotyledons,Ehretiaceae,Tiquilia nuttallii,Accepted,,
Dicotyledons,Elaeagnaceae,Elaeagnus angustifolia,Accepted,,
Dicotyledons,Elaeagnaceae,Elaeagnus canadensis,Synonym,Shepherdia canadensis,
Dicotyledons,Elaeagnaceae,Elaeagnus commutata,Accepted,,
Dicotyledons,Elaeagnaceae,Elaeagnus umbellata,Accepted,,
Dicotyledons,Elaeagnaceae,Elaeagnus utilis,Synonym,Shepherdia argentea,
Dicotyledons,Elaeagnaceae,Shepherdia argentea,Accepted,,
Dicotyledons,Elaeagnaceae,Shepherdia canadensis,Accepted,,
Dicotyledons,Elatinaceae,Bergia texana,Accepted,,
Dicotyledons,Elatinaceae,Elatine americana,Misapplied,Elatine chilensis,
Dicotyledons,Elatinaceae,Elatine brachysperma,Accepted,,
Dicotyledons,Elatinaceae,Elatine californica,Accepted,,
Dicotyledons,Elatinaceae,Elatine chilensis,Accepted,,
Dicotyledons,Elatinaceae,Elatine rubella,Accepted,,
Dicotyledons,Elatinaceae,Elatine triandra,Misapplied,Elatine chilensis,
Dicotyledons,Ericaceae,Allotropa virgata,Accepted,,
Dicotyledons,Ericaceae,Arbutus menziesii,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos × cinerea,Misapplied,Arctostaphylos × oblongifolia,
Dicotyledons,Ericaceae,Arctostaphylos × cinerea,Synonym,Arctostaphylos canescens,
Dicotyledons,Ericaceae,Arctostaphylos × media,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos × oblongifolia,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos × parvifolia,Synonym,Arctostaphylos canescens × Arctostaphylos nevadensis,
Dicotyledons,Ericaceae,Arctostaphylos canescens,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos canescens × Arctostaphylos nevadensis,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos canescens × Arctostaphylos patula,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos canescens ssp. canescens,Synonym,Arctostaphylos canescens,
Dicotyledons,Ericaceae,Arctostaphylos columbiana,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos columbiana × Arctostaphylos nevadensis,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos glandulosa,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos glandulosa ssp. glandulosa,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos hispidula,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos hispidula var. hispidula,Synonym,Arctostaphylos hispidula,
Dicotyledons,Ericaceae,Arctostaphylos hispidula var. viscosissima,Synonym,Arctostaphylos hispidula,
Dicotyledons,Ericaceae,Arctostaphylos intricata,Synonym,Arctostaphylos glandulosa ssp. glandulosa,
Dicotyledons,Ericaceae,Arctostaphylos mewukka,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos mewukka ssp. mewukka,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos nevadensis,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos nevadensis × Arctostaphylos patula,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos nevadensis ssp. nevadensis,Synonym,Arctostaphylos nevadensis,
Dicotyledons,Ericaceae,Arctostaphylos nortensis,Synonym,Arctostaphylos columbiana,
Dicotyledons,Ericaceae,Arctostaphylos patula,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos patula × Arctostaphylos uva-ursi,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos patula × Arctostaphylos viscida,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos pulchella,Synonym,Arctostaphylos viscida,
Dicotyledons,Ericaceae,Arctostaphylos stanfordiana,Synonym,Arctostaphylos hispidula,
Dicotyledons,Ericaceae,Arctostaphylos uva-ursi,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos uva-ursi var. coactilis,Synonym,Arctostaphylos uva-ursi,
Dicotyledons,Ericaceae,Arctostaphylos uva-ursi var. uva-ursi,Synonym,Arctostaphylos uva-ursi,
Dicotyledons,Ericaceae,Arctostaphylos viscida,Accepted,,
Dicotyledons,Ericaceae,Arctostaphylos viscida ssp. pulchella,Synonym,Arctostaphylos viscida,
Dicotyledons,Ericaceae,Arctostaphylos viscida ssp. viscida,Synonym,Arctostaphylos viscida,
Dicotyledons,Ericaceae,Calluna vulgaris,Accepted,,
Dicotyledons,Ericaceae,Cassiope mertensiana,Accepted,,
Dicotyledons,Ericaceae,Cassiope mertensiana ssp. gracilis,Synonym,Cassiope mertensiana var. gracilis,
Dicotyledons,Ericaceae,Cassiope mertensiana ssp. mertensiana,Synonym,Cassiope mertensiana var. mertensiana,
Dicotyledons,Ericaceae,Cassiope mertensiana var. gracilis,Accepted,,
Dicotyledons,Ericaceae,Cassiope mertensiana var. mertensiana,Accepted,,
Dicotyledons,Ericaceae,Chimaphila menziesii,Accepted,,
Dicotyledons,Ericaceae,Chimaphila umbellata,Accepted,,
Dicotyledons,Ericaceae,Chimaphila umbellata ssp. umbellata,Synonym,Chimaphila umbellata,
